"",".id","placetype","name","lat","lng","subloc1","subloc2","landmark","pincode","formatted","addrlen","url"
"15",15,"establishment/premise","Udupi Garden",12.9162595,77.6088719,"BTM 2nd Stage","Stage 2","Udupi Garden","560076","near Udupi Garden, Stage 2, BTM 2nd Stage, Bengaluru, Karnataka 560076, India",8,"https://maps.googleapis.com/maps/api/geocode/json?address=Acharya%20Sankeerna&key=AIzaSyDKY_GA4QP50zRMpcP71unTGdECJYxaLaw"
"16",16,"establishment/point_of_interest","Kudlu Main Road",12.8886463,77.6513693,"AECS Layout - A Block","Kudlu",NA,"560068","AMARACHANDRA ROYAL [ACR LIFESTYLE] , SITE NO.36/2 AND 36/3, Kudlu Main Rd, Kudlu, AECS Layout - A Block, AECS Layout, Singasandra, Bengaluru, Karnataka 560068, India",10,"https://maps.googleapis.com/maps/api/geocode/json?address=ACR%20Lifestyle&key=AIzaSyDKY_GA4QP50zRMpcP71unTGdECJYxaLaw"
"17",17,"establishment/point_of_interest","297",28.4221668,77.1077092,"Huda Sector","Huda Sector",NA,"122011","297, Huda Sector, Sushant Lok 2, Sector 55, Gurugram, Haryana 122011, India",10,"https://maps.googleapis.com/maps/api/geocode/json?address=Adarsh%20Apartment&key=AIzaSyDKY_GA4QP50zRMpcP71unTGdECJYxaLaw"
"18",18,"establishment/premise","Adarsh Crystal",12.9701315,77.6274948,"Jogupalya","Cambridge Layout",NA,"India","Adarsh Crystal, Cambridge Layout, Jogupalya, Bengaluru, Karnataka, India",7,"https://maps.googleapis.com/maps/api/geocode/json?address=Adarsh%20Crystal&key=AIzaSyDKY_GA4QP50zRMpcP71unTGdECJYxaLaw"
"19",19,"establishment/point_of_interest","47th Cross Road",12.9169573,77.5778016,"Jayanagar","8th Block",NA,"560070","47th Cross Rd, 8th Block, Jayanagar, Bengaluru, Karnataka 560070, India",8,"https://maps.googleapis.com/maps/api/geocode/json?address=Adarsh%20Gardens&key=AIzaSyDKY_GA4QP50zRMpcP71unTGdECJYxaLaw"
"20",20,"doctor/establishment/health/point_of_interest","#1205",38.7464189,-121.2637317,"North Sunrise Avenue","151",NA,"95661","151 N Sunrise Ave #1205, Roseville, CA 95661, USA",9,"https://maps.googleapis.com/maps/api/geocode/json?address=Adarsh%20Hill&key=AIzaSyDKY_GA4QP50zRMpcP71unTGdECJYxaLaw"
"21",21,"establishment/point_of_interest","Kanakapura Road",12.9043934,77.5739344,"Rose Garden","JP Nagar 6th Phase",NA,"560078","Adarsh Nivas, Kanakapura Rd, JP Nagar 6th Phase, Rose Garden, JP Nagar Phase 6, J. P. Nagar, Bengaluru, Karnataka 560078, India",10,"https://maps.googleapis.com/maps/api/geocode/json?address=Adarsh%20Nivas&key=AIzaSyDKY_GA4QP50zRMpcP71unTGdECJYxaLaw"
"22",22,"establishment/point_of_interest","46th Cross Road",12.916102,77.5847776,"5th Block","TMC Layout",NA,"560041","Adarsh Palace, 46th Cross Rd, TMC Layout, 5th Block, Jayanagar, Bengaluru, Karnataka 560041, India",9,"https://maps.googleapis.com/maps/api/geocode/json?address=Adarsh%20Palace&key=AIzaSyDKY_GA4QP50zRMpcP71unTGdECJYxaLaw"
"23",23,"political/sublocality/sublocality_level_2","Adarsh Palm Retreat",12.9234947,77.6851069,"Bengaluru","Bellandur",NA,"India","Adarsh Palm Retreat, Bellandur, Bengaluru, Karnataka, India",6,"https://maps.googleapis.com/maps/api/geocode/json?address=Adarsh%20Palm%20retreat&key=AIzaSyDKY_GA4QP50zRMpcP71unTGdECJYxaLaw"
"24",24,"establishment/premise","47th Cross",12.9160899,77.5764402,"8th Block","47th Cross Road",NA,"560082","47th Cross, 47th Cross Rd, 8th Block, Jayanagar, Bengaluru, Karnataka 560082, India",9,"https://maps.googleapis.com/maps/api/geocode/json?address=Adarsh%20Residency&key=AIzaSyDKY_GA4QP50zRMpcP71unTGdECJYxaLaw"
"25",25,"premise","ADARSH RHYTHM",12.8945299,77.5971744,"Bengaluru","Panduranga Nagar",NA,"560076","ADARSH RHYTHM, Panduranga Nagar, Bengaluru, <U+0915><U+0930><U+094D><U+0928><U+093E><U+091F><U+0915> 560076",7,"https://maps.googleapis.com/maps/api/geocode/json?address=Adarsh%20Rhythm&key=AIzaSyDKY_GA4QP50zRMpcP71unTGdECJYxaLaw"
"26",26,"political/sublocality/sublocality_level_3","Adarsh Vista",12.9722029,77.6843913,"Doddanekkundi","Doddanekundi",NA,"560037","Adarsh Vista, Doddanekundi, Doddanekkundi, Bengaluru, Karnataka 560037, India",8,"https://maps.googleapis.com/maps/api/geocode/json?address=Adarsh%20Vista&key=AIzaSyDKY_GA4QP50zRMpcP71unTGdECJYxaLaw"
"27",27,"establishment/point_of_interest","802",32.8736761,-97.0946963,"Euless","Kodiak Circle",NA,"76039","802 Kodiak Cir, Euless, TX 76039, USA",7,"https://maps.googleapis.com/maps/api/geocode/json?address=Adarsha%20Blooms&key=AIzaSyDKY_GA4QP50zRMpcP71unTGdECJYxaLaw"
"28",28,"premise","Adithi Ani Lotus",13.0129571,77.7353337,"Krishnarajapura","Sonnenahalli",NA,"560067","Adithi Ani Lotus, Whitefield, Sonnenahalli, Krishnarajapura, Bengaluru, Karnataka 560067, India",8,"https://maps.googleapis.com/maps/api/geocode/json?address=Adhiti%20Lotus&key=AIzaSyDKY_GA4QP50zRMpcP71unTGdECJYxaLaw"
"29",29,"establishment/premise","Phase 2",12.9266122,77.6956655,"Bengaluru","Bhoganhalli",NA,"560103","Phase 2, Bhoganhalli, Bengaluru, Karnataka 560103, India",7,"https://maps.googleapis.com/maps/api/geocode/json?address=Adithi%20Elite&key=AIzaSyDKY_GA4QP50zRMpcP71unTGdECJYxaLaw"
"30",30,"establishment/point_of_interest","135",12.9710698,77.6693377,"Jagadish Nagar","1A",NA,"560075","135, 1A, Jagadish Nagar, Kaggadasapura, Bengaluru, Karnataka 560075, India",9,"https://maps.googleapis.com/maps/api/geocode/json?address=Adithya%20Soigne&key=AIzaSyDKY_GA4QP50zRMpcP71unTGdECJYxaLaw"
"31",31,"establishment/point_of_interest","135",12.9710698,77.6693377,"Jagadish Nagar","1A",NA,"560075","135, 1A, Jagadish Nagar, Kaggadasapura, Bengaluru, Karnataka 560075, India",9,"https://maps.googleapis.com/maps/api/geocode/json?address=Adithya%20Solgne&key=AIzaSyDKY_GA4QP50zRMpcP71unTGdECJYxaLaw"
"32",32,"establishment/premise","Kalkere Main Road",13.0270608,77.6618935,"Horamavu","Ashirvad Colony",NA,"560016","Kalkere Main Rd, Ashirvad Colony, Horamavu, Bengaluru, Karnataka 560016, India",8,"https://maps.googleapis.com/maps/api/geocode/json?address=Aditiya%20Mother%20Palace&key=AIzaSyDKY_GA4QP50zRMpcP71unTGdECJYxaLaw"
"33",33,"establishment/premise","Basapura Village Road",12.8645038,77.6497544,"Bengaluru","Basapura",NA,"560068","Basapura Village Road, Basapura, Bengaluru, Karnataka 560068, India",7,"https://maps.googleapis.com/maps/api/geocode/json?address=Aditya%20Vintage&key=AIzaSyDKY_GA4QP50zRMpcP71unTGdECJYxaLaw"
"34",34,"route","Admiralty Avenue",33.9318916,-117.4464411,"Riverside County","Riverside",NA,"92503","Admiralty Ave, Riverside, CA 92503, USA",6,"https://maps.googleapis.com/maps/api/geocode/json?address=Admiralty%20Avenue&key=AIzaSyDKY_GA4QP50zRMpcP71unTGdECJYxaLaw"
"35",35,"establishment/general_contractor/point_of_interest","2299",47.8783078,-122.2633125,"Everett","Manor Way",NA,"98204","2299 Manor Way, Everett, WA 98204, USA",7,"https://maps.googleapis.com/maps/api/geocode/json?address=Admiralty%20Manor&key=AIzaSyDKY_GA4QP50zRMpcP71unTGdECJYxaLaw"
"36",36,"establishment/point_of_interest","6th Main Road",12.9727975,77.6339972,"Eshwara Layout","2nd Stage",NA,"560038","79, 13th Cross, 6th Main Rd, 2nd Stage, Eshwara Layout, Indiranagar, Bengaluru, Karnataka 560038, India",9,"https://maps.googleapis.com/maps/api/geocode/json?address=Admiralty%20Square&key=AIzaSyDKY_GA4QP50zRMpcP71unTGdECJYxaLaw"
"37",37,"establishment/point_of_interest","Regency Enclave",12.9710758,77.608461,"Magrath Road","4",NA,"560025","109, Plot no, Regency Enclave, 4, Magrath Rd, Ashok Nagar, Bengaluru, Karnataka 560025, India",9,"https://maps.googleapis.com/maps/api/geocode/json?address=Aerobic%20Biotaxi&key=AIzaSyDKY_GA4QP50zRMpcP71unTGdECJYxaLaw"
"38",38,"premise","Agnes Enclave",13.0173275,77.6389806,"5th Main Road","9th Cross",NA,"560043","Agnes Enclave, 9th Cross, 5th Main Rd, St Thomas Town, Sena Vihar, Kammanahalli, Bengaluru, Karnataka 560043, India",11,"https://maps.googleapis.com/maps/api/geocode/json?address=Agnes%20Enclave&key=AIzaSyDKY_GA4QP50zRMpcP71unTGdECJYxaLaw"
"39",39,"establishment/point_of_interest","Ranka Colony Road",12.9035349,77.6062539,"Bilekahalli","Munivenkatppa Layout",NA,"560076","Ranka Colony Rd, Munivenkatppa Layout, Bilekahalli, Bengaluru, Karnataka 560076, India",8,"https://maps.googleapis.com/maps/api/geocode/json?address=Ahika%20Apartment&key=AIzaSyDKY_GA4QP50zRMpcP71unTGdECJYxaLaw"
"40",40,"establishment/premise","Devarachikkanahalli Main Road",12.8957764,77.6202294,"Bommanahalli","Seenappa Layout",NA,"560076","Devarachikkanahalli Main Rd, Seenappa Layout, Bommanahalli, Bengaluru, Karnataka 560076, India",8,"https://maps.googleapis.com/maps/api/geocode/json?address=Aishwarya%20Amaze&key=AIzaSyDKY_GA4QP50zRMpcP71unTGdECJYxaLaw"
"41",41,"establishment/premise","24th Main Road",12.9031803,77.6481461,"Sector 2","ITI Layout",NA,"560102","24th Main Rd, ITI Layout, Sector 2, HSR Layout, Bengaluru, Karnataka 560102, India",9,"https://maps.googleapis.com/maps/api/geocode/json?address=Aishwarya%20Eastwoods&key=AIzaSyDKY_GA4QP50zRMpcP71unTGdECJYxaLaw"
"42",42,"establishment/point_of_interest","33",12.8964934,77.5858455,"Paradise Colony","Brigade Millenium Road",NA,"560078","33, Brigade Millenium Rd, Paradise Colony, JP Nagar 7th Phase, J. P. Nagar, Bengaluru, Karnataka 560078, India",10,"https://maps.googleapis.com/maps/api/geocode/json?address=Aishwarya%20Splendour&key=AIzaSyDKY_GA4QP50zRMpcP71unTGdECJYxaLaw"
"43",43,"establishment/point_of_interest","FCI Godown Road",12.998613,77.6702608,"Dooravani Nagar","Jyothi Puram",NA,"560016","FCI Godown Rd, Jyothi Puram, Dooravani Nagar, Bengaluru, Karnataka 560016, India",8,"https://maps.googleapis.com/maps/api/geocode/json?address=Aisshwarya%20Excellency&key=AIzaSyDKY_GA4QP50zRMpcP71unTGdECJYxaLaw"
"44",44,"establishment/point_of_interest","Rajasree Layout",12.9563145,77.7053664,"Marathahalli","Gandhi Nagar",NA,"560037","Service Road opposite Purva Fountain Square, Rajasree Layout, Gandhi Nagar, Marathahalli, Bengaluru, Karnataka 560037, India",8,"https://maps.googleapis.com/maps/api/geocode/json?address=Aisshwarya%20Serenity&key=AIzaSyDKY_GA4QP50zRMpcP71unTGdECJYxaLaw"
"45",45,"establishment/premise","Devarachikkanahalli Main Road",12.8957764,77.6202294,"Bommanahalli","Seenappa Layout",NA,"560076","Devarachikkanahalli Main Rd, Seenappa Layout, Bommanahalli, Bengaluru, Karnataka 560076, India",8,"https://maps.googleapis.com/maps/api/geocode/json?address=Aishwarya%20Amaze&key=AIzaSyDKY_GA4QP50zRMpcP71unTGdECJYxaLaw"
"46",46,"establishment/point_of_interest","33",12.8964934,77.5858455,"Paradise Colony","Brigade Millenium Road",NA,"560078","33, Brigade Millenium Rd, Paradise Colony, JP Nagar 7th Phase, J. P. Nagar, Bengaluru, Karnataka 560078, India",10,"https://maps.googleapis.com/maps/api/geocode/json?address=Aishwarya%20Splendour%20%28Block-1%29&key=AIzaSyDKY_GA4QP50zRMpcP71unTGdECJYxaLaw"
"47",47,"establishment/point_of_interest","Lavelle Road",12.9695126,77.5971798,"Ashok Nagar","D' Souza Layout",NA,"560001","Lavelle Road, D' Souza Layout, Ashok Nagar, Bengaluru, Karnataka 560001, India",8,"https://maps.googleapis.com/maps/api/geocode/json?address=Ajantha%20Apartments&key=AIzaSyDKY_GA4QP50zRMpcP71unTGdECJYxaLaw"
"48",48,"establishment/point_of_interest","church",12.931172,77.5146893,"Ideal Homes Layout","Rajarajeshwari Temple Road","church","560098","Rajarajeshwari Temple Rd, opposite church, Ideal Homes Layout, Ideal Homes Twp, RR Nagar, Bengaluru, Karnataka 560098, India",10,"https://maps.googleapis.com/maps/api/geocode/json?address=Ajantha%20Classics&key=AIzaSyDKY_GA4QP50zRMpcP71unTGdECJYxaLaw"
"49",49,"establishment/premise","Subramanya Pura Road",12.9089667,77.5538474,"Uttarahalli Hobli","Ankappa Layout",NA,"560061","256 ankappa layout subramanyapura post -560061 256256-a 560061, Subramanya Pura Rd, Ankappa Layout, Uttarahalli Hobli, Bengaluru, Karnataka 560061, India",8,"https://maps.googleapis.com/maps/api/geocode/json?address=Ajantha%20Gardens&key=AIzaSyDKY_GA4QP50zRMpcP71unTGdECJYxaLaw"
"50",50,"establishment/premise","Ajantha Meadows",12.8715901,77.6155747,"Akshaya Vana","Akshayanagara West",NA,"560068","Ajantha Meadows, Akshayanagara West, Akshaya Vana, Akshayanagar, Bengaluru, Karnataka 560068, India",9,"https://maps.googleapis.com/maps/api/geocode/json?address=Ajantha%20Meadows&key=AIzaSyDKY_GA4QP50zRMpcP71unTGdECJYxaLaw"
"51",51,"establishment/point_of_interest","4th Cross Road",12.8620048,77.6622583,"Konappana Agrahara","Lavakusha Nagar",NA,"560100","4th Cross Rd, Lavakusha Nagar, Konappana Agrahara, Electronic City, Bengaluru, Karnataka 560100, India",9,"https://maps.googleapis.com/maps/api/geocode/json?address=Ajantha%20Prime&key=AIzaSyDKY_GA4QP50zRMpcP71unTGdECJYxaLaw"
"52",52,"establishment/point_of_interest","32/2",12.8617205,77.6618485,"Lavakusha Nagar","Lavakusha Nagar 2nd Main Road",NA,"560100","32/2, Lavakusha Nagar 2nd Main Rd, Lavakusha Nagar, Konappana Agrahara, Electronic City, Bengaluru, Karnataka 560100, India",10,"https://maps.googleapis.com/maps/api/geocode/json?address=Ajantha%20Royal&key=AIzaSyDKY_GA4QP50zRMpcP71unTGdECJYxaLaw"
"53",53,"doctor/establishment/health/point_of_interest","3838",32.2765477,-110.9431659,"Campus Farm","North Campbell Avenue",NA,"85719","3838 N Campbell Ave, Tucson, AZ 85719, USA",8,"https://maps.googleapis.com/maps/api/geocode/json?address=Ajmal%20Residency&key=AIzaSyDKY_GA4QP50zRMpcP71unTGdECJYxaLaw"
"54",54,"establishment/point_of_interest","20/1",12.8674182,77.5940833,"Pai Layout","Bannerghatta Main Road",NA,"560076","20/1, Bannerghatta Main Rd, Pai Layout, Kalena Agrahara, Bengaluru, Karnataka 560076, India",9,"https://maps.googleapis.com/maps/api/geocode/json?address=Ajmera%20Green%20Acres&key=AIzaSyDKY_GA4QP50zRMpcP71unTGdECJYxaLaw"
"55",55,"establishment/point_of_interest","20/1",12.8674182,77.5940833,"Pai Layout","Bannerghatta Main Road",NA,"560076","20/1, Bannerghatta Main Rd, Pai Layout, Kalena Agrahara, Bengaluru, Karnataka 560076, India",9,"https://maps.googleapis.com/maps/api/geocode/json?address=Ajmera%20Green%20Acres&key=AIzaSyDKY_GA4QP50zRMpcP71unTGdECJYxaLaw"
"56",56,"establishment/point_of_interest","A2B",12.8374194,77.6508097,"Neeladri Nagar","1st Cross Road","A2B","560100","1st Cross Rd, Next to A2B, Neeladri Nagar, Electronics City Phase 1, Electronic City, Bengaluru, Karnataka 560100, India",10,"https://maps.googleapis.com/maps/api/geocode/json?address=Ajmera%20Stone%20Park&key=AIzaSyDKY_GA4QP50zRMpcP71unTGdECJYxaLaw"
"57",57,"establishment/premise","Kundalahalli Main Road",12.972333,77.7139311,"Brookefield","EPIP Zone",NA,"560037","Kundalahalli Main Rd, EPIP Zone, Brookefield, Bengaluru, Karnataka 560037, India",8,"https://maps.googleapis.com/maps/api/geocode/json?address=Akme%20Encore&key=AIzaSyDKY_GA4QP50zRMpcP71unTGdECJYxaLaw"
"58",58,"establishment/point_of_interest","WMCC+XFC",12.9224349,77.6711397,"Bengaluru","Bellandur",NA,"560103","WMCC+XFC, Bellandur, Bengaluru, Karnataka 560103, India",7,"https://maps.googleapis.com/maps/api/geocode/json?address=Akme%20Harmony&key=AIzaSyDKY_GA4QP50zRMpcP71unTGdECJYxaLaw"
"59",59,"establishment/point_of_interest","WMCC+XFC",12.9224349,77.6711397,"Bengaluru","Bellandur",NA,"560103","WMCC+XFC, Bellandur, Bengaluru, Karnataka 560103, India",7,"https://maps.googleapis.com/maps/api/geocode/json?address=Akme%20Harmony&key=AIzaSyDKY_GA4QP50zRMpcP71unTGdECJYxaLaw"
"60",60,"establishment/point_of_interest","<U+092E><U+094B><U+0939><U+092E><U+094D><U+092E><U+0926><U+093F><U+092F><U+093E> <U+092E><U+0926><U+093F><U+0928><U+093E> <U+092E><U+0938><U+094D><U+091C><U+093F><U+0926>",15.8357789,78.0279778,"Kurnool","Ashok Nagar","<U+092E><U+094B><U+0939><U+092E><U+094D><U+092E><U+0926><U+093F><U+092F><U+093E> <U+092E><U+0926><U+093F><U+0928><U+093E> <U+092E><U+0938><U+094D><U+091C><U+093F><U+0926>","518005","near <U+092E><U+094B><U+0939><U+092E><U+094D><U+092E><U+0926><U+093F><U+092F><U+093E> <U+092E><U+0926><U+093F><U+0928><U+093E> <U+092E><U+0938><U+094D><U+091C><U+093F><U+0926>, Ashok Nagar, Kurnool, Andhra Pradesh 518005, India",7,"https://maps.googleapis.com/maps/api/geocode/json?address=Akshaya%20Nivas&key=AIzaSyDKY_GA4QP50zRMpcP71unTGdECJYxaLaw"
"61",61,"establishment/premise","Govindapura",13.0362507,77.6125551,"Bengaluru","Nagwara",NA,"560045","Govindapura, Nagwara, Bengaluru, Karnataka 560045, India",7,"https://maps.googleapis.com/maps/api/geocode/json?address=Akshay%20Orchid&key=AIzaSyDKY_GA4QP50zRMpcP71unTGdECJYxaLaw"
"62",62,"establishment/point_of_interest","4913",37.9874189,-78.5053444,"Charlottesville","Sheridan Street",NA,"22902","4913 Sheridan St, Charlottesville, VA 22902, USA",7,"https://maps.googleapis.com/maps/api/geocode/json?address=Akshaya%20Apartments&key=AIzaSyDKY_GA4QP50zRMpcP71unTGdECJYxaLaw"
"63",63,"establishment/point_of_interest","6th Main Talakaveri Road",12.8705477,77.6139838,"Akshaya Vana","Akshayanagara West",NA,"560068","West, 6th Main Talakaveri Rd, Akshayanagara West, Akshaya Vana, Akshayanagar, Bengaluru, Karnataka 560068, India",9,"https://maps.googleapis.com/maps/api/geocode/json?address=Akshaya%20Kuteera&key=AIzaSyDKY_GA4QP50zRMpcP71unTGdECJYxaLaw"
"64",64,"establishment/point_of_interest","Vyalikaval HBCS Layout",13.0365619,77.6122056,"Bengaluru","Hebbal",NA,"560045","Vyalikaval HBCS Layout, Hebbal, Bengaluru, Karnataka 560045, India",7,"https://maps.googleapis.com/maps/api/geocode/json?address=Akshaya%20Orchid&key=AIzaSyDKY_GA4QP50zRMpcP71unTGdECJYxaLaw"
"65",65,"establishment/point_of_interest","5",12.8910988,77.5759063,"Yadava Farm","2nd Cross Road",NA,"560078","5, 2nd Cross Rd, Yadava Farm, Chunchgatta, JP Nagar 7th Phase, J. P. Nagar, Bengaluru, Karnataka 560078, India",11,"https://maps.googleapis.com/maps/api/geocode/json?address=Akshaya%20Nilaya&key=AIzaSyDKY_GA4QP50zRMpcP71unTGdECJYxaLaw"
"66",66,"establishment/point_of_interest","6th Main Talakaveri Road",12.8705477,77.6139838,"Akshaya Vana","Akshayanagara West",NA,"560068","West, 6th Main Talakaveri Rd, Akshayanagara West, Akshaya Vana, Akshayanagar, Bengaluru, Karnataka 560068, India",9,"https://maps.googleapis.com/maps/api/geocode/json?address=Akshaya%20Kuteera&key=AIzaSyDKY_GA4QP50zRMpcP71unTGdECJYxaLaw"
"67",67,"political/sublocality/sublocality_level_2","Akshaya Residency",12.8718118,77.6228252,"Bengaluru","Akshayanagar",NA,"560068","Akshaya Residency, Akshayanagar, Bengaluru, Karnataka 560068, India",7,"https://maps.googleapis.com/maps/api/geocode/json?address=Akshaya%20Residency&key=AIzaSyDKY_GA4QP50zRMpcP71unTGdECJYxaLaw"
"68",68,"establishment/point_of_interest","Syria",36.2135782,37.1212058,"Alep","<U+062D><U+064A> <U+0627><U+0644><U+0634><U+0647><U+0628><U+0627><U+0621>",NA,"Gouvernorat d'Alep","<U+062D><U+064A> <U+0627><U+0644><U+0634><U+0647><U+0628><U+0627><U+0621><U+060C> Aleppo, Alep, Syria",5,"https://maps.googleapis.com/maps/api/geocode/json?address=Alepo%20Apartment&key=AIzaSyDKY_GA4QP50zRMpcP71unTGdECJYxaLaw"
"69",69,"establishment/point_of_interest","1209",42.0335948,-93.6791491,"Ames","North Dakota Avenue",NA,"3651","1209 N Dakota Ave, Ames, IA 50014, USA",8,"https://maps.googleapis.com/maps/api/geocode/json?address=Alpine%20Apartment&key=AIzaSyDKY_GA4QP50zRMpcP71unTGdECJYxaLaw"
"70",70,"establishment/point_of_interest","1209",42.0335948,-93.6791491,"Ames","North Dakota Avenue",NA,"3651","1209 N Dakota Ave, Ames, IA 50014, USA",8,"https://maps.googleapis.com/maps/api/geocode/json?address=Alpine%20Apartment&key=AIzaSyDKY_GA4QP50zRMpcP71unTGdECJYxaLaw"
"71",71,"route","Alpine Eco Road",12.9728942,77.7015123,"Bengaluru","Doddanekkundi",NA,"India","Alpine Eco Rd, Doddanekkundi, Bengaluru, Karnataka, India",6,"https://maps.googleapis.com/maps/api/geocode/json?address=Alpine%20Eco&key=AIzaSyDKY_GA4QP50zRMpcP71unTGdECJYxaLaw"
"72",72,"establishment/point_of_interest","County Road 74",36.3556668,-93.997563,"Benton County","Rogers",NA,"72756","County Rd 74, Rogers, AR 72756, USA",6,"https://maps.googleapis.com/maps/api/geocode/json?address=Alpine%20Park&key=AIzaSyDKY_GA4QP50zRMpcP71unTGdECJYxaLaw"
